"Kraj","PKB","Populacja kraju","Emisja CH4","Emisja N2O","Emisja CO2 Cement","Emisja CO2 Węgiel","Emisja CO2 Gaz","Emisja CO2 Ropa","Emisja CO2 Spalanie","Emisja CO2 Pozostałe","Emisja CO2 Razem","Udział globalny w emisji CO2 Cement","Udział globalny w emisji CO2 Węgiel","Udział globalny w emisji CO2 Gaz","Udział globalny w emisji CO2 Ropa","Udział globalny w emisji CO2 Spalanie","Udział globalny w emisji CO2 Razem"
"Tanzania",162052505600.0,56313444,45.49,29.59,1.747,1.667,1.425,6.948,0.004,0.0,11.791,0.11,0.01,0.02,0.06,0.0,0.03
"Thailand",1124031922176.0,69428456,74.32,21.99,15.091,60.588,81.268,119.23,0.0,0.0,276.177,0.96,0.41,1.09,0.98,0.0,0.75
"Tunisia",130322096128.0,11565203,6.93,3.2,3.125,0.0,12.584,13.379,0.275,0.0,29.363,0.2,0.0,0.17,0.11,0.07,0.08
"Turkey",1655984226304.0,82340096,47.1,32.69,37.026,163.326,95.932,116.186,0.174,6.793000000000063,419.437,2.36,1.11,1.29,0.95,0.04,1.14
"Ukraine",431319908352.0,44246156,33.2,25.25,3.719,120.925,66.992,35.192,2.399,2.8060000000000116,232.033,0.24,0.82,0.9,0.29,0.58,0.63
"United Arab Emirates",734906220544.0,9630966,47.46,1.96,8.732,7.273,117.575,19.499,1.125,0.0,154.204,0.56,0.05,1.58,0.16,0.27,0.42
"United Kingdom",2540210225152.0,67141680,50.78,28.13,4.364,32.894,162.477,174.564,4.572,3.0190000000000055,381.89,0.28,0.22,2.18,1.43,1.11,1.04
"United States",18140645818368.0,327096256,710.57,268.55,38.971,1283.532,1641.041,2316.811,71.008,24.12800000000061,5375.491,2.49,8.72,22.01,19.01,17.23,14.67
"Uruguay",68560711680.0,3449290,20.92,7.8,0.32,0.004,0.114,6.134,0.0,0.0,6.571,0.02,0.0,0.0,0.05,0.0,0.02
"Uzbekistan",336874766336.0,32476232,53.53,16.56,3.53,9.658,89.849,11.695,0.0,0.0,114.732,0.23,0.07,1.2,0.1,0.0,0.31
"Venezuela",309413019648.0,28887118,138.27,13.64,2.76,0.125,41.705,46.575,29.012,0.0,120.177,0.18,0.0,0.56,0.38,7.04,0.33
"Vietnam",661488402432.0,95545960,81.42,25.44,49.637,94.927,18.554,60.599,0.0,0.0010000000000047748,223.718,3.17,0.64,0.25,0.5,0.0,0.61
